Contenido,Cluster
"Hydrofluorocarbons are included in the Kyoto Protocol and are regulated under the Kigali Amendment to the Montreal Protocol due to their very high Global Warming Potential and the recognition of halocarbon contributions to climate change.On September 21, 2007, approximately 200 countries agreed to accelerate the elimination of hydrochlorofluorocarbons entirely by 2020 in a United Nations-sponsored Montreal summit. Developing nations were given until 2030. Many nations, such as the United States and China, who had previously resisted such efforts, agreed with the accelerated phase out schedule. India successfully phased out HCFCs by 2020.",1
"While new production of these refrigerants has been banned, large volumes still exist in older systems and pose an immediate threat to our environment. Preventing the release of these harmful refrigerants has been ranked as one of the single most effective actions we can take to mitigate catastrophic climate change.",1
"CFCs dissolve in seawater at the ocean surface and are subsequently transported into the ocean interior. Because CFCs are inert, their concentration in the ocean interior reflects simply the convolution of their atmospheric time evolution and ocean circulation and mixing.",1
"Chlorofluorocarbons (CFCs) are anthropogenic compounds that have been released into the atmosphere since the 1930s in various applications such as in air-conditioning, refrigeration, blowing agents in foams, insulations and packing materials, propellants in aerosol cans, and as solvents. The entry of CFCs into the ocean makes them extremely useful as transient tracers to estimate rates and pathways of ocean circulation and mixing processes.",1
"The solubility measurements of CFC-11 and CFC-12 have been previously measured by Warner and Weiss Additionally, the solubility measurement of CFC-113 was measured by Bu and Warner and SF6 by Wanninkhof et al. and Bullister et al.",1
"Theses authors mentioned above have expressed the solubility (F) at a total pressure of 1 atm as: ln ⁡ F = a 1 + a 2 ( 100 T ) + a 3 ln ⁡ ( T 100 ) + a 4 ( T 100 ) 2 + S [ b 1 + b 2 ( T 100 ) + b 3 ( T 100 ) ] , {\displaystyle \ln F=a_{1}+a_{2}\left({\frac {100}{T}}\right)+a_{3}\ln \left({\frac {T}{100}}\right)+a_{4}\left({\frac {T}{100}}\right)^{2}+S\left[b_{1}+b_{2}\left({\frac {T}{100}}\right)+b_{3}\left({\frac {T}{100}}\right)\right],} where F = solubility expressed in either mol l−1 or mol kg−1 atm−1, T = absolute temperature, S = salinity in parts per thousand",1
"(ppt), a1, a2, a3, b1, b2, and b3 are constants to be determined from the least squares fit to the solubility measurements. This equation is derived from the integrated Van 't Hoff equation and the logarithmic Setchenow salinity dependence.It can be noted that the solubility of CFCs increase with decreasing temperature at approximately 1% per degree Celsius.Once the partial pressure of the CFC (or SF6) is derived, it is then compared to the atmospheric time histories for CFC-11, CFC-12, or SF6 in which the pCFC directly corresponds to the year with the same.",1
"In 2019, the company won a tender for a European Space Agency Space Safety program contract in the Active Debris Removal/In-Orbit Servicing (ADRIOS) project. It will target the ESA's VESPA from the 2013 Vega flight VV02 for de-orbiting. The mission contract, worth 86 million euros, was signed in November 2020. As of January 2023, ClearSpace-1 is expected to be launched in 2026 on a Vega-C launch vehicle.The VESPA that ClearSpace-1 hopes to capture is the size of a washing machine and weighs about 112 kilograms.",1
"ClearSpace-1's device has been described as a four-armed ""space claw"" that will grip VESPA and steer it back into the Earth's atmosphere, where both will be destroyed via destructive reentry. The ClearSpace-1 mission was preceded by e.Deorbit, a space debris removal mission under planning by ESA in 2010s. In the end, the e.Deorbit mission was not implemented, the satellite was not built and the whole e.Deorbit mission was cancelled. ClearSpace-1 continues the ESA space debris removal aspirations.",1
"Tokyo-based Astroscale is a space debris removal company testing a removal device called End-of-Life Services (ELSA-d) that successfully demonstrated many of the key technologies required for space debris removal in 2021 and 2022, including demonstrating magnetic docking with a client in 2021 and close approach RPO in 2022 and ELSA-d is now in its de-orbiting phase.In 2022, the UK Space Agency awarded £4 million to ClearSpace-1 and Astroscale to remove non-operational British satellites by 2026. ClearSpace official homepage",1
"Historically, clinker from coal-burning steamships simply was discarded overboard, leaving detectable trails on the seabed of some prominent steamship routes. As such, the deposits have proven to be of biological, historical and archaeological interest.Naturally occurring clinkers exist. For example, in the Powder River Basin is covered by clinkers from coal-seam fires, i.e., ""baked, welded and molded rocks formed by the natural burning of coal beds.""Distinguish, Cement clinker. Construction Dross Industrial furnace Metallurgy Recycling",1
"Closing the Loop has saved more than 2.2 million mobile phones from the dump in Africa and gave more than 145,000 mobile phones a second life. Mobile phones are bought from informal local collector networks. To date, Closing the Loop has helped more than 2,000 people in Africa to earn additional income through safe employment.The social enterprise sees e-waste as an opportunity. An opportunity to source companies with responsibly sourced metals, to make industries like telecom circular - by closing loops - and to create income for people in emerging markets.",1
"It aims to contribute to the circular economy and the Sustainable Development Goals. Closing the Loop was founded in 2012 by Joost de Kluijver. Joost started with an NGO to make the electronic industry aware of the impact of e-waste. Although all recognized that e-waste was a major problem, the industry clearly needed more than awareness on the topic of e-waste. Joost and his team therefore took own initiative and showed that the metals inside broken mobile phones still have a value as they contain gold, silver, copper and other recyclable metals.",1
"Closing the Loop set up a network of collectors in African countries and in 2015 the first container filled with mobile phones was shipped from Ghana to Europe for proper recycling. When at the end of their lifespan, scrap mobile phones are often dumped and become a hazard for the environment and human health. For example, in landfills like Agbogbloshie, e-waste is dumped and people try to make a living by burning electronics to extract metals. The fumes that are released are very toxic.",1
"Before the development of macadam as a paving material in the 19th century, paving systems were mostly porous, so that precipitation could soak away and not run off, and urban rooftop rainwater was often saved in rainwater tanks. Open sewers, consisting of gutters and urban streambeds, were common worldwide before the 20th century.",1
"136 It is generally infeasible to treat the volume of mixed sewage and surface runoff flowing in a combined sewer during peak runoff events caused by snowmelt or convective precipitation. As cities built sewage treatment plants, those plants were typically built to treat only the volume of sewage flowing during dry weather. Relief structures were installed in the collection system to bypass untreated sewage mixed with surface runoff during wet weather, protecting sewage treatment plants from damage caused if peak flows reached the headworks.",1
"These relief structures, called ""storm-water regulators"" (in American English - or ""combined sewer overflows"" in British English) are constructed in combined sewer systems to divert flows in excess of the peak design flow of the sewage treatment plant. Combined sewers are built with control sections establishing stage-discharge or pressure differential-discharge relationships which may be either predicted or calibrated to divert flows in excess of sewage treatment plant capacity.",1
"Pollutants like oil, grease, fecal coliform from pet and wildlife waste, and pesticides get flushed into the sewer system. In cold weather areas, pollutants from cars, people and animals also accumulate on hard surfaces and grass during the winter and then are flushed into the sewer systems during heavy spring rains.",1
"CSOs differ from sanitary sewer overflows in that the latter are caused by sewer system obstructions, damage, or flows in excess of sewer capacity (rather than treatment plant capacity.): Ch.4 Sanitary sewer overflows may occur at any low spot in the sewer system rather than at the CSO relief structures. Absence of a diversion outfall often causes sanitary sewer overflows to flood residential structures and/or flow over traveled road surfaces before reaching natural drainage channels.",1
"In 2009, the Canadian Council of Ministers of the Environment adopted a Canada-wide Strategy for the Management of Municipal Wastewater Effluent including national standards to (1) remove floating material from combined sewer overflows, (2) prevent combined sewer overflows during dry weather, and (3) prevent development or redevelopment from increasing the frequency of combined sewer overflows.Rehabilitation of combined sewer systems to mitigate CSOs require extensive monitoring networks which are becoming more prevalent with decreasing sensor and communication costs.",1
"These monitoring networks can identify bottlenecks causing the main CSO problem, or aid in the calibration of hydrodynamic or hydrological models to enable cost effective CSO mitigation. Municipalities in the US have been undertaking projects to mitigate CSO since the 1990s. For example, prior to 1990, the quantity of untreated combined sewage discharged annually to lakes, rivers, and streams in southeast Michigan was estimated at more than 30 billion US gallons (110,000,000 m3) per year. In 2005, with nearly $1 billion of a planned $2.4",1
"billion CSO investment put into operation, untreated discharges have been reduced by more than 20 billion US gallons (76,000,000 m3) per year. This investment that has yielded an 85 percent reduction in CSO has included numerous sewer separation, CSO storage and treatment facilities, and wastewater treatment plant improvements constructed by local and regional governments.Many other areas in the US are undertaking similar projects (see, for example, in the Puget Sound of Washington). Cities like Pittsburgh, Seattle, Philadelphia, and New York are focusing on these projects partly because they are under federal consent decrees to solve their CSO issues.",1
"Another solution is to build a CSO storage facility, such as a tunnel that can store flow from many sewer connections. Because a tunnel can share capacity among several outfalls, it can reduce the total volume of storage that must be provided for a specific number of outfalls. Storage tunnels store combined sewage but do not treat it. When the storm is over, the flows are pumped out of the tunnel and sent to a wastewater treatment plant. One of the main concerns with CSO storage is the length of time it is stored before it is released.",1
"The first segment of the tunnel system, 7 miles (11 km) in length, went online in 2018. The remaining segments of the storage system are scheduled for completion in 2023. (The city's overall ""Clean Rivers"" project, projected to cost $2.6 billion, includes other components, such as reducing stormwater flows.) The South Boston CSO Storage Tunnel is a similar project, completed in 2011. Indianapolis, Indiana, is building underground storage capacity in the form of a 28-mile (45 km) 18-foot (5.5",1
"Wayne, Indiana, is constructing a 4.5-mile (7.2 km), 14-foot (4.3 m) diameter, $180M tunnel under the 3RPORT (Three Rivers Protection and Overflow Reduction Tunnel) to address the myriad CSOs which outfall into the St. Mary's, St. Joseph, and Maumee Rivers. The 3RPORT is approximately 160 feet (49 m) below grade, and is anticipated to enter service in 2023.",1
"Some cities have expanded their basic sewage treatment capacity to handle some or all of the CSO volume. In 2002 litigation forced the city of Toledo, Ohio, to double its treatment capacity and build a storage basin in order to eliminate most overflows. The city also agreed to study ways to reduce stormwater flows into the sewer system. (See Reducing stormwater flows.)",1
"Retention treatment basins or large concrete tanks that store and treat combined sewage are another solution. These underground structures can range in storage and treatment capacity from 2 million US gallons (7,600 m3) to 120 million US gallons (450,000 m3) of combined sewage. While each facility is unique, a typical facility operation is as follows. Flows from the overloaded sewers are pumped into a basin that is divided into compartments. The first flush compartment captures and stores flows with the highest level of pollutants from the first part of a storm.",1
"These pollutants include motor oil, sediment, road salt, and lawn chemicals (pesticides and fertilizers) that are picked up by the stormwater as it runs off roads and lawns. The flows from this compartment are stored and sent to the wastewater treatment plant when there is capacity in the interceptor sewer after the storm. The second compartment is a treatment or flow-through compartment. The flows are disinfected by injecting sodium hypochlorite, or bleach, as they enter this compartment. It then takes about 20‑30 minutes for the flows to move to the end of the compartment.",1
"These facilities are generally designed to contain two inches of stormwater runoff, with the ability to disinfect overflows during extreme wet-weather rainfall events.",1
All of the materials removed by the screens are then sent to the sewage treatment plant through the interceptor sewer.,1
"CSO mitigating initiatives that are solely composed of sewer system reconstruction are referred to as gray infrastructure, while techniques like permeable pavement and rainwater harvesting are referred to as green infrastructure. Conflict often occurs between a municipality's sewage authority and its environmentally active organizations between gray and green infrastructural plans.The 2004 EPA Report to Congress on CSO's provides a review of available technologies to mitigate CSO impacts.: Ch. 8",1
"RT-DSS systems take advantage of storm temporal and spatial variability as well as varying concentration times due to diverse land uses across the sewershed to coordinate and optimize control assets. By maximizing storage and conveyance RT-DSS are able to minimize overflows using existing infrastructure. Successful implementations of RT-DSS have been carried out throughout the United States and Europe.Real-time control (RTC) can be either heuristic or model based. Model-based control is theoretically more optimal, but due to the ease of implementation, heuristic control is more commonly applied.",1
"Generating sufficient evidence that RTC is a suitable option for CSO mitigation remains problematic, although new performance methods might make this possible.",1
"The only survivors from the Warsaw Uprising and Warsaw Ghetto made their final escape through city sewers. Some have commented that the engravings of imaginary prisons by Piranesi were inspired by the Cloaca Maxima, one of the world's earliest sewers.",1
"The theme of traveling through, hiding, or even residing in combined sewers is a common plot device in media. Famous examples of sewer dwelling are the Teenage Mutant Ninja Turtles, Stephen King's It, Les Misérables, The Third Man, Ladyhawke, Mimic, The Phantom of the Opera, Beauty and the Beast, and Jet Set Radio Future. The Todd Strasser novel Y2K-9: the Dog Who Saved the World is centered on a dog thwarting terroristic threats to electronically sabotage American sewage treatment plants.",1
"A well-known urban legend, the sewer alligator, is that of giant alligators or crocodiles residing in combined sewers, especially of major metropolitan areas. Two public sculptures in New York depict an alligator dragging a hapless victim into a manhole.Alligators have been known to get into combined storm sewers in the southeastern United States. Closed-circuit television by a sewer repair company captured an alligator in a combined storm sewer on tape. Fatberg (sewer obstruction) Sanitary sewer overflow Thames Tideway Scheme Storm drain U.S. EPA – Combined Sewer Overflows",1
"The bill was the United States Senate companion to proposed legislation in the House of Representatives by Representative Anna Eshoo (D-CA), a member of the Energy and Commerce Committee. She said she was motivated to write the bill after a loud commercial interrupted conversation at a family dinner; when she turned to her brother-in-law, asking him to ""do something"" about the loud television, he replied, ""Well, you're the congresswoman. Why don't you do something about it?"". According to Eshoo, no one turned her down when she looked for supporters to the bill, and it passed the Communications Subcommittee.",1
"The technical requirements for measuring loudness were taken entirely from a formerly voluntary ""recommended practice"" issued by the Advanced Television Systems Committee (ATSC) on November 4, 2009. Eshoo told The Wall Street Journal that legislation to mitigate the volume of commercials on TV was among the most popular pieces of legislation she has sponsored in her 18 years in Congress.Prior to adjourning for the midterm recess, the United States Senate unanimously passed the bill on September 30, 2010.",1
"Before it was signed into law in December, minor differences between the two versions had to be worked out when Congress returned to Washington after the November 2 election. The reconciled bill was signed into law by President Barack Obama on December 15, 2010, as Public Law 111-311.On May 27, 2011, the FCC released a Notice of Proposed Rulemaking (NPRM), Media Bureau (MB) Docket 11-93, to implement the CALM Act. Twelve parties filed comments, which are now available in the FCC's Electronic Comment Filing System (ECFS).",1
"The FCC adopted its rules on December 13, 2011, and they took effect on December 13, 2012. Television viewers are asked to report loud commercials that violate this bill to the FCC. ""111th Congress Public Law 311"". From the U.S. Government Printing Office. FCC's Loud Commercials Page ""Loudness Measurements and the CALM Act"" (PDF). Qualis Audio. Retrieved March 10, 2011. ATSC Recommended Practice A/85 – Techniques for Establishing and Maintaining Audio Loudness for Digital Television ""Optimod 8685 - allowing stations to comply effortlessly with the requirements of the CALM act"". Orban. Archived from the original on February 27, 2011.",1
"Retrieved April 13, 2011. FCC Encyclopedia: Loud Commercials and the CALM Act ""Linear Acoustic - Helping broadcasters achieve CALM Act compliance by providing loudness control, metering, and monitoring solutions"". Linear Acoustic. ""Minntonka Audio - The New Loudness Dilemma"" (PDF). Minnetonka Audio Software, Inc. ""EBU Recommendation R 128 - Loudness normalisation and permitted maximum level of audio signals"" (PDF). EBU. ""EBU TECH Doc 3343 v.2 - Practical guidelines for Production and Implementation in accordance with EBU R 128"" (PDF). EBU.",1
"Computer liquidation is a sustainable solution and is environmentally friendly. Rapid technology change, low initial cost, and planned obsolescence have resulted in a fast-growing surplus of computers and other electronic components around the globe. The purpose of computer liquidators is to keep as many computers and electronic parts out of landfills. As newer and better technology replaces hardware at an ever-increasing speed, the amount of technical trash increases as the technology is being replaced. The speed at which hardware changes and innovates in the last few years follows, to some degree, Moore's Law.",1
"The option of liquidation actually incentivizes people to get rid of their electronic waste in a safer way, since recycling actually costs the owner money, so there are cases where people would rather throw it out to avoid the recycling fee.Computer liquidators effectively create a secondary market to meet the demand of those who are looking for a cheaper solution and do not require cutting edge technology. It is important to note that the IT equipment being liquidated ranges from new technology to old technology.",1
"The sellers are companies who are bankrupt and need to sell their assets, companies who are downsizing or expanding, and companies who are upgrading their technology. Usually, companies who are looking to sell their equipment will first conduct an information technology audit to review their systems and equipment. The process is generally fueled by the supply side, as computer liquidators rely on what is available on the market for them to liquidate and resell. Thus, there nearly always exists a shortage for buyers.",1
"Then, the devices or parts are resold to smaller companies and places like school districts, who are in need of these products. Most of the companies involved in the computer liquidation business are also heavily involved in the computer and electronic recycling industry which takes on a similar process of disassembling and testing. This process theoretically benefits both ends of the exchange, the seller gets money for equipment they no longer needs and the buyer gets cheap equipment that is necessary for their work.",1
A number of organizations have sprung up that provide technical guidelines to those handling or dealing in eWaste.,1
"Psychological noise results from preconceived notions brought to conversations, such as stereotypes, reputations, biases, and assumptions. When we come into a conversation with ideas about what the other person is going to say and why, we can easily become blinded to their original message. Most of the time it is difficult to distance oneself from psychological noise, recognizing that it exists and taking those distractions into account when we converse with others is important.",1
"Psychological noise occurs when the psychological state of the receiver(s) is such as to produce an unpredictable decoding (right after a major earthquake, an ""oldies"" radio station in Los Angeles plays Elvis Presley's ""I'm All Shook Up"" as part of a preprogrammed music session, and is condemned by listeners for mocking victims of the quake)(L Chirubvu, 2018) Psychological noise can also include factors such as one’s current mood and one’s interest in the conversation topic. For example, suppose the receiver has a general liking to the sender in the communication encounter.",1
"In that case, the receiver will be more successful in effectively listening to the sender’s message, and he or she will be able to respond effectively. Also, if the receiver is in either a bad or good mood, it will have an impact on how he or she receives the message. Although a positive emotion can increase the possibility of a successful communication encounter, it can also have a negative impact. It is crucial to recognize these emotions and analyze whether they are impacting the message transmission.",1
"In 2014, 505.1 million tons of demolition debris was generated in the US. Out of the 505.1 million tons, the debris was composed of 353.6 million tons of concrete, 76.6 million tons of asphalt concrete, 35.8 million tons of wood product, 12.7 million tons of asphalt shingles, 11.8 million tons of brick and clay tile, 10.3 million tons of drywall and plaster, and 4.3 million tons of steel. Before demolition debris is extracted, contamination from lead, asbestos or other hazardous materials must be resolved. Hazardous materials must be disposed of separately, according to federal regulation.",1
Construction waste – Unwanted material produced directly or incidentally by the construction industries Recycling – Converting waste materials into new products Concrete recycling – Re-use of rubble from demolished concrete structures Waste management – Activities and actions required to manage waste from its source to its final disposal Control of Substances Hazardous to Health Regulations 2002 – Uk Statutory Instrument 2002 No. 2677Pages displaying wikidata descriptions as a fallback Embodied carbon – Measure of greenhouse gas emissions List of solid waste treatment technologies Index of waste management articles,1
"It is slightly soluble in hexane and progressively more so in benzene, acetonitrile, methylene chloride, methanol, ethanol, and acetone. It is also soluble in aqueous alkali. The naturally occurring isomer trans-zearalenone (trans-ZEN) is transformed by ultraviolet irradiation to cis-zearalenone (cis-ZEN). Zearalenone is metabolically transformed to α-zearalenol (α-Zel) or (α-Zol), β-zearalenol (β-Zel) or (β-Zol), α-zearalanol (α-Zal), β-zearalanol (β-Zal), and zearalanone (ZAN) in animals. The relative composition of these metabolic products varies by species. In pigs, cows and ducks, α-Zel is the dominant form detected. In humans, both α-Zel and β-Zel are seen in urine samples, with the beta form being prevalent.",1
"In chickens, β-Zel is the dominant form and in plant cells, the metabolic product zeralenonne-14-O-β-glucoside has been detected. Additionally, in the organs of animals these metabolic products are further modified to yield zearalenone-14-glucuronide (ZEN-14GlcA), α-zearalenol-glucuronide (α-Zel-14G) and β-zearalenol-glucuronide (β-Zel-14G). Zearalenone can permeate through the human skin. However, no significant hormonal effects are expected after dermal contact in normal agricultural or residential environments. Zearalenone structure is similar to estrogens and α-zearalenol binds with an even greater affinity estrogen receptors, while β-zearalenol's affinity is lower than both the parent compound's and α-Zel's binding affinity. This identifies ZEN and its metabolites as xenoestrogens.",1
"The human and livestock exposure to ZEN through the diet poses health concern due to the onset of several sexual disorders and alterations in the development of sexual apparatus. There are reliable case reports of early puberty in girls chronically exposed to ZEN in various regions of the world. In mice, ZEN consumption was linked to a decline of potent sperm and egg cells, an increase to double-stranded breaks in DNA and activation of DNA repair mechanisms, followed by embryonic development challenges that reduced the viability of offspring.",1
"Another approach for the analysis of ZEA, without the requirement of expensive instrumentation, is developing specific peptide mimetic with the bioluminescent Gaussia luciferase fused as one protein that can bind specifically to ZEA. α-Zearalenol β-Zearalenol Taleranol Zeranol Zearalanone Media related to Zearalenone at Wikimedia Commons Eriksen GS, Pennington J, Schlatter J (2000). ""Zearalenone"". WHO International Programme on Chemical Safety - Safety Evaluation of Certain Food Additives and Contaminants. Inchem. WHO Food Additives Series.",1
"In example, for an Electric Vehicle, an hybrid method considering also the GHG due to the manufacturing and the end of life of the battery gives GHG emissions 10–13% higher, compared to the WTW Methods not considering LCA aspects but only the emissions occurring during a specific process; i.e. just the combustion of a fuel in a power plant, without considering the Upstream emissions.Different calculation methods can lead to different results. The results can largely vary also for different geographic regions and timeframes (see, in example, how C.I.",1
"of electricity varies, for different European countries, and how varied in a few years: from 2009 to 2013 the C.I. of electricity in the European Union fell on average by 20%, So while comparing different values of Carbon Intensity it is important to correctly consider all the boundary conditions (or initial hypotheses) considered for the calculations. For example, Chinese oil fields emit between 1.5 and more than 40 g of CO2e per MJ with about 90% of all fields emitting 1.5–13.5 g CO2e.",1
"Examples of these are particulates, NOx, a mixture of nitric oxide, NO, and nitrogen dioxide, NO2). Nitrous oxide (N2O) emissions from agricultural soils are highly uncertain because they depend very much on both the exact conditions of the soil, the application of fertilizers and meteorological conditions. A literature review of numerous total life cycle energy sources CO2 emissions per unit of electricity generated, conducted by the Intergovernmental Panel on Climate Change in 2011, found that the CO2 emission value, that fell within the 50th percentile of all total life cycle emissions studies were as follows. Note: 3.6",1
"Annual data between 1980 and 2009 are averaged over three decades: 1980–89, 1990–99, and 2000–09. In 2009 CO2 intensity of GDP in the OECD countries reduced by 2.9% and amounted to 0.33 kCO2/$05p in the OECD countries. (""$05p"" = 2005 US dollars, using purchasing power parities). The USA posted a higher ratio of 0.41 kCO2/$05p while Europe showed the largest drop in CO2 intensity compared to the previous year (−3.7%). CO2 intensity continued to be roughly higher in non-OECD countries. Despite a slight improvement, China continued to post a high CO2 intensity (0.81 kCO2/$05p).",1
CO2 intensity in Asia rose by 2% during 2009 since energy consumption continued to develop at a strong pace. Important ratios were also observed in countries in CIS and the Middle East.,1
"This shows that global emissions has grown rapidly, increasing by about 2.1% each year compared from the previous decade.The Commodity Exchange Bratislava (CEB) has calculated carbon intensity for Voluntary Emissions Reduction projects carbon intensity in 2012 to be 0.343 tn/MWh.According to data from the European Commission, in order to achieve the EU goal of decreasing greenhouse gas emissions by at least 55% by 2030 compared to 1990, EU-based energy investment has to double from the previous decade to more than €400 billion annually this decade.",1
"This includes the roughly €300 billion in yearly investment required for energy efficiency and the roughly €120 billion required for power networks and renewable energy facilities. One of the most important uses of emission factors is for the reporting of national greenhouse gas inventories under the United Nations Framework Convention on Climate Change (UNFCCC). The so-called Annex I Parties to the UNFCCC have to annually report their national total emissions of greenhouse gases in a formalized reporting format, defining the source categories and fuels that must be included.",1
"Natural gas, being methane (CH4), has 4 hydrogen atoms to burn for each one of carbon and thus has medium CO2 emission intensity.",1
2006 IPCC Guidelines for National Greenhouse Gas Inventories Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (reference manual). IPCC Emission Factor Database National Inventory Report: Greenhouse Gas Sources and Sinks in Canada. United Kingdom's emission factor database.,1
"The Science study, which was conducted by Stanford University found that Canadian crude oil is the ""fourth-most greenhouse gas (GHG) intensive in the world"" behind Algeria, Venezuela and Cameroon.",1
Wayback Machine Electricity carbon intensity in European Member States: Impacts on GHG emissions of electric vehicles A hybrid LCA-WTW method to assess the carbon footprint of electric vehicles Carbon emissions intensity from different regions,1
"eGRID2021 was released by EPA on January 30, 2023. It contains year 2021 data. eGRID2020 was released by EPA on January 27, 2022. It contains year 2020 data. eGRID2019 was released by EPA on February 23, 2021. It contains year 2019 data. eGRID2018 was released by EPA on January 28, 2020 and eGRID2018v2 was released on March 9, 2020. It contains year 2018 data. eGRID2016 was released by EPA on February 15, 2018. It contains year 2016 data. eGRID2014 was released by EPA on January 13, 2017. It contains year 2014 data. eGRID2012 was released by EPA on October 8, 2015.",1
"It is the 10th edition and contains year 2012 data. eGRID2010 Version 1.0 with year 2010 data was released on February 24, 2014. eGRID2009 Version 1.0, with year 2009 data was released on May 10, 2012. eGRID2007 Version 1.0 was released on February 23, 2011 and Version 1.1 was released May 20, 2011. eGRID2005 Version 1.0 was released in October 2008 and Version 1.1 was released in January 2009. eGRID2004 Version 1.0 was released in December 2006; Version 2.0 was released in early April 2007; and Version 2.1, was released in late April 2007 and updated for typos in May 2007.",1
"eGRID2000 Version 1.0 was released in December 2002; Version 2.0 was released in April 2003; and Version 2.01 was released in May 2003. (eGRID2000 replaced eGRID versions 1996 through 1998). eGRID1998 was released in March and September 2001. eGRID1997 was released in December 1999. eGRID1996 was first released in December 1998. eGRID data include emissions, different types of emission rates, electricity generation, resource mix, and heat input. eGRID data also include plant identification, location, and structural information.",1
"eGRID data is presented as an Excel workbook with data worksheets and a table of contents. The eGRID workbook contains data at the unit, generator, and plant levels and aggregated data by state, power control area, eGRID subregion, NERC region, and U.S. The workbook also includes a worksheet that displays the grid gross loss (%). Additional documentation is also provided with each eGRID release such as, a Technical Guide (PDF), Summary Tables, eGRID subregion map (JPG), NERC region Map (JPG), and release notes (TXT).",1
"In 2010, Executive Order 13514 was issued, requiring Federal agencies to “measure, report, and reduce their greenhouse gas emissions from direct and indirect activities.” The Federal GHG Accounting and Reporting Guidance accompanied this order and recommended using eGRID non-baseload emission rates to estimate the Scope 2 (indirect) emission reductions from renewable energy.",1
"A consignment of Friendly Floatee toys, manufactured in China for The First Years Inc., departed from Hong Kong on a container ship, the Evergreen Ever Laurel, destined for Tacoma, Washington. On 10 January 1992, during a storm in the North Pacific Ocean close to the International Date Line, twelve 40-foot (12-m) intermodal containers were washed overboard. One of these containers held 28,800 Floatees, a child's bath toy which came in a number of forms: red beavers, green frogs, blue turtles and yellow ducks.",1
"The mass release of 28,800 objects into the ocean at one time offered significant advantages over the standard method of releasing 500–1000 drift bottles. The recovery rate of objects from the Pacific Ocean is typically around 2%, so rather than the 10 to 20 recoveries typically seen with a drift bottle release, the two scientists expected numbers closer to 600. They were already tracking various other spills of flotsam, including 61,000 Nike running shoes that had been lost overboard in 1990. Ten months after the incident, the first Floatees began to wash up along the Alaskan coast.",1
"The first discovery consisted of ten toys found by a beachcomber near Sitka, Alaska on 16 November 1992, about 3,200 kilometres (2,000 mi) from their starting point. Ebbesmeyer and Ingraham contacted beachcombers, coastal workers, and local residents to locate hundreds of the beached Floatees over a 850 kilometres (530 mi) shoreline. Another beachcomber discovered twenty of the toys on 28 November 1992, and in total 400 were found along the eastern coast of the Gulf of Alaska in the period up to August 1993. This represented a 1.4% recovery rate.",1
"Using the models they had developed, the oceanographers correctly predicted further landfalls of the toys in Washington state in 1996 and theorized that many of the remaining Floatees would have traveled to Alaska, westward to Japan, back to Alaska, and then drifted northwards through the Bering Strait and become trapped in the Arctic pack ice. Moving slowly with the ice across the Pole, they predicted it would take five or six years for the toys to reach the North Atlantic where the ice would thaw and release them. Between July and December 2003, The First Years Inc.",1
"offered a $100 US savings bond reward to anybody who recovered a Floatee in New England, Canada or Iceland. More of the toys were recovered in 2004 than in any of the preceding three years. However, still, more of these toys were predicted to have headed eastward past Greenland and make landfall on the southwestern shores of the United Kingdom in 2007. In July 2007, a retired teacher found a plastic duck on the Devon coast, and British newspapers mistakenly announced that the Floatees had begun to arrive.",1
"But the day after breaking the story, the Western Morning News, the local Devon newspaper, reported that Dr. Simon Boxall of the National Oceanography Centre in Southampton had examined the toy and determined that the duck was not in fact a Floatee.Bleached by sun and seawater, the ducks and beavers had faded to white, but the turtles and frogs had kept their original colors. At least two children's books have been inspired by the Floatees. In 1997, Clarion Books published Ducky (ISBN 0-395-75185-3), written by Eve Bunting and illustrated by Caldecott Medal winner David Wisniewski.",1
"Hans Christian Andersen Award winner Eric Carle wrote 10 Little Rubber Ducks (Harper Collins 2005, ISBN 978-0-00-720242-3).In 2003, Rich Eilbert wrote a song ""Yellow Rubber Ducks"" commemorating the ducks' journey. In 2011, he published the song as a YouTube video, Yellow Rubber Ducks.",1
"In 2011, Donovan Hohn published Moby-Duck: The True Story of 28,800 Bath Toys Lost at Sea and of the Beachcombers, Oceanographers, Environmentalists, and Fools, Including the Author, Who Went in Search of Them (Viking, ISBN 978-0-670-02219-9)On 20 June 2014, The Disney Channel and Disney Junior aired Lucky Duck, a Canadian-American animated TV movie that is loosely based on and inspired by the Friendly Floatees.In his 2014 poem collection The Cartographer Tries to Map a Way to Zion, poet Kei Miller dedicates a poem to the Friendly Floatees : ""When Considering the Long, Long Journey of 28,000 Rubber Ducks"".",1
"The spill was referenced in a 2022 game ""Placid Plastic Duck Simulator"" as an ""accidental duck experiment"", which can be heard on the radio in between music. The toys themselves have become collector's items, fetching prices as high as $1,000. Drifter (floating device) Great Pacific garbage patch Hansa Carrier Marine debris Message in a bottle Rye Riptides Keith C. Heidorn, 'Of Shoes And Ships And Rubber Ducks And A Message In A Bottle', The Weather Doctor (17 March 1999). Jane Standley, 'Ducks' odyssey nears end', BBC News, (12 July 2003).",1
